group	fill	clickSelects
1	#FFFFFF	31
2	#FFFFFF	261
3	#FFFFFF	261
4	#FFFFFF	171
5	#FFFFFF	171
6	#FFFFFF	171
7	#FFFFFF	171
8	#FFFFFF	7
9	#FFFFFF	171
10	#FFFFFF	171
11	#FFFFFF	7
12	#FFFFFF	7
13	#FFFFFF	7
14	#FFFFFF	31
15	#FFFFFF	7
16	#FFFFFF	7
17	#FFFFFF	7
18	#FFFFFF	7
19	#FFFFFF	7
20	#FFFFFF	77
21	#FFFFFF	77
22	#FFFFFF	77
23	#FFFFFF	7
24	#FFFFFF	7
25	#FFFFFF	31
26	#FFFFFF	7
27	#FFFFFF	77
28	#FFFFFF	77
29	#FFFFFF	7
30	#FFFFFF	7
31	#FFFFFF	7
32	#FFFFFF	26
33	#FFFFFF	26
34	#FFFFFF	26
35	#FFFFFF	26
36	#FFFFFF	7
37	#FFFFFF	26
38	#FFFFFF	26
39	#FFFFFF	26
40	#FFFFFF	26
41	#FFFFFF	26
42	#FFFFFF	26
43	#FFFFFF	7
44	#FFFFFF	7
45	#FFFFFF	7
46	#FFFFFF	7
47	#FFFFFF	171
48	#FFFFFF	171
49	#FFFFFF	171
50	#FFFFFF	7
52	#FFFFFF	261
53	#FFFFFF	261
54	#FFFFFF	171
55	#FFFFFF	171
56	#FFFFFF	171
57	#FFFFFF	171
58	#FFFFFF	7
59	#FFFFFF	171
60	#FFFFFF	171
61	#FFFFFF	171
62	#FFFFFF	7
63	#FFFFFF	7
64	#FFFFFF	261
65	#FFFFFF	7
66	#FFFFFF	7
67	#FFFFFF	7
68	#FFFFFF	7
69	#FFFFFF	7
70	#FFFFFF	77
71	#FFFFFF	7
72	#FFFFFF	77
73	#FFFFFF	77
74	#FFFFFF	7
75	#FFFFFF	31
76	#FFFFFF	7
77	#FFFFFF	7
78	#FFFFFF	77
79	#FFFFFF	77
80	#FFFFFF	7
81	#FFFFFF	7
82	#FFFFFF	7
83	#FFFFFF	7
84	#FFFFFF	7
85	#FFFFFF	26
86	#FFFFFF	31
87	#FFFFFF	26
88	#FFFFFF	26
89	#FFFFFF	26
90	#FFFFFF	26
91	#FFFFFF	26
92	#FFFFFF	26
93	#FFFFFF	26
94	#FFFFFF	7
95	#FFFFFF	26
97	#FFFFFF	31
98	#FFFFFF	7
99	#FFFFFF	171
100	#FFFFFF	171
101	#FFFFFF	171
102	#FFFFFF	261
103	#FFFFFF	261
104	#FFFFFF	261
105	#FFFFFF	171
106	#FFFFFF	171
107	#FFFFFF	7
108	#FFFFFF	7
109	#FFFFFF	171
110	#FFFFFF	171
111	#FFFFFF	171
112	#FFFFFF	171
113	#FFFFFF	7
114	#FFFFFF	7
115	#FFFFFF	31
116	#FFFFFF	7
117	#FFFFFF	7
118	#FFFFFF	7
119	#FFFFFF	7
120	#FFFFFF	7
121	#FFFFFF	7
122	#FFFFFF	7
123	#FFFFFF	77
124	#FFFFFF	77
125	#FFFFFF	7
126	#FFFFFF	31
127	#FFFFFF	7
128	#FFFFFF	7
129	#FFFFFF	77
130	#FFFFFF	7
131	#FFFFFF	7
132	#FFFFFF	7
133	#FFFFFF	7
134	#FFFFFF	7
135	#FFFFFF	7
136	#FFFFFF	26
137	#FFFFFF	31
138	#FFFFFF	26
139	#FFFFFF	26
140	#FFFFFF	26
141	#FFFFFF	26
