group	label	showSelected1
1	Cluster 2: 150/4712 pixels shown, logFC -1.5 to 1.0, log10(p) 0.0 to 6.0	2
1	Cluster 4: 814/4997 pixels shown, logFC -1.1 to 1.4, log10(p) 0.0 to 3.4	4
1	Cluster 73: 33/33 pixels shown, logFC -1.0 to 0.2, log10(p) 0.0 to 2.5	73
1	Cluster 81: 9/163 pixels shown, logFC -0.4 to 1.4, log10(p) 0.0 to 1.6	81
1	Cluster 199: 5/34 pixels shown, logFC -0.9 to 0.6, log10(p) 0.0 to 2.3	199
1	Cluster 200: 8/8 pixels shown, logFC -0.9 to -0.2, log10(p) 0.3 to 1.4	200
1	Cluster 219: 3/44 pixels shown, logFC -1.0 to 0.6, log10(p) 0.0 to 2.2	219
1	Cluster 271: 40/40 pixels shown, logFC -0.7 to 0.5, log10(p) 0.0 to 1.7	271
1	Cluster 287: 5/16 pixels shown, logFC -0.2 to 1.3, log10(p) 0.0 to 1.0	287
1	Cluster 395: 5/19 pixels shown, logFC -0.9 to 0.3, log10(p) 0.0 to 3.0	395
1	Cluster 443: 7/36 pixels shown, logFC -0.7 to -0.0, log10(p) 0.0 to 1.7	443
1	Cluster 485: 1/2 pixels shown, logFC -2.1 to -2.1, log10(p) 0.4 to 0.4	485
